"","prev","b_int","cmi","auc","auc_uncorrected","auc_diff"
"1",-6,0.1,0.1,0.73946167484252,0.723559844242409,0.0159018306001105
"2",-6,0.2,0.1,0.730602771915298,0.729287379057341,0.00131539285795712
"3",-6,0.3,0.1,0.743291071077628,0.740778045571102,0.00251302550652566
"4",-6,0.4,0.1,0.731089137602266,0.727533568510506,0.00355556909176058
"5",-6,0.5,0.1,0.736670964103726,0.718246897253548,0.0184240668501786
"6",-6,0.6,0.1,0.731265531832494,0.721750929340917,0.00951460249157643
"7",-6,0.7,0.1,0.735663362502619,0.733664091441492,0.00199927106112752
"8",-6,0.8,0.1,0.742001170506985,0.727925136546722,0.0140760339602625
"9",-6,0.9,0.1,0.742044818501412,0.742068314963718,-2.34964623060385e-05
"10",-6,0.1,0.2,0.686333749742815,0.649468223727241,0.0368655260155744
"11",-6,0.2,0.2,0.684254585065903,0.661086345116191,0.0231682399497122
"12",-6,0.3,0.2,0.680386531507314,0.652053310532163,0.0283332209751508
"13",-6,0.4,0.2,0.683382825097646,0.651480312137906,0.0319025129597406
"14",-6,0.5,0.2,0.678148769549427,0.659652275193673,0.0184964943557546
"15",-6,0.6,0.2,0.671611534491261,0.666659408893953,0.00495212559730773
"16",-6,0.7,0.2,0.683175879817128,0.650285774139681,0.0328901056774469
"17",-6,0.8,0.2,0.676934451216894,0.660068556597611,0.016865894619283
"18",-6,0.9,0.2,0.688048000014163,0.666653793092476,0.0213942069216865
"19",-6,0.1,0.3,0.65630134733954,0.579656855192883,0.0766444921466575
"20",-6,0.2,0.3,0.651450648544896,0.595318415284183,0.0561322332607136
"21",-6,0.3,0.3,0.651883882687497,0.587736747524625,0.064147135162872
"22",-6,0.4,0.3,0.658090228624175,0.601269686244164,0.0568205423800112
"23",-6,0.5,0.3,0.656314204450815,0.607165427969653,0.049148776481162
"24",-6,0.6,0.3,0.65397046174655,0.5959633314614,0.0580071302851504
"25",-6,0.7,0.3,0.659081797881784,0.588336930902018,0.0707448669797657
"26",-6,0.8,0.3,0.647644466705272,0.601837558239443,0.0458069084658289
"27",-6,0.9,0.3,0.645117560583679,0.614053287704547,0.0310642728791313
"28",-6,0.1,0.4,0.651747713614005,0.519833734055105,0.1319139795589
"29",-6,0.2,0.4,0.651374188064464,0.52273759929332,0.128636588771144
"30",-6,0.3,0.4,0.655729492830493,0.532718853154987,0.123010639675506
"31",-6,0.4,0.4,0.65047663377803,0.523295457103742,0.127181176674288
"32",-6,0.5,0.4,0.652200677311904,0.519453536119601,0.132747141192303
"33",-6,0.6,0.4,0.650375220712273,0.528376800058563,0.12199842065371
"34",-6,0.7,0.4,0.63035499660527,0.532560777521828,0.0977942190834423
"35",-6,0.8,0.4,0.649930795697972,0.518692901746294,0.131237893951678
"36",-6,0.9,0.4,0.645261169701548,0.537763982995125,0.107497186706423
"37",-6,0.1,0.5,0.671648453022244,0.481698751402623,0.18994970161962
"38",-6,0.2,0.5,0.663449515324696,0.480708812159061,0.182740703165635
"39",-6,0.3,0.5,0.679830549532626,0.49095195840247,0.188878591130157
"40",-6,0.4,0.5,0.662154194416689,0.468379201390579,0.19377499302611
"41",-6,0.5,0.5,0.666057963958552,0.477486543584485,0.188571420374067
"42",-6,0.6,0.5,0.670124604454425,0.476182509720406,0.193942094734019
"43",-6,0.7,0.5,0.664623375203753,0.480248569838582,0.184374805365171
"44",-6,0.8,0.5,0.662900263991781,0.478926752679638,0.183973511312144
"45",-6,0.9,0.5,0.668238980077115,0.473831411904984,0.194407568172131
"46",-6,0.1,0.6,0.700310287320985,0.52705846795241,0.173251819368575
"47",-6,0.2,0.6,0.699245748819297,0.529203636441141,0.170042112378156
"48",-6,0.3,0.6,0.703125737252514,0.530155749592381,0.172969987660133
"49",-6,0.4,0.6,0.697135674867449,0.532883177738042,0.164252497129407
"50",-6,0.5,0.6,0.692362205659444,0.536000664606003,0.156361541053441
"51",-6,0.6,0.6,0.697792787331996,0.528982578077675,0.168810209254321
"52",-6,0.7,0.6,0.694903167152698,0.531619746929951,0.163283420222747
"53",-6,0.8,0.6,0.701568948292626,0.533678828109966,0.16789012018266
"54",-6,0.9,0.6,0.696549258052403,0.532422565292837,0.164126692759567
"55",-6,0.1,0.7,0.738903673565743,0.574579640976114,0.164324032589629
"56",-6,0.2,0.7,0.733312798073111,0.575999052399118,0.157313745673993
"57",-6,0.3,0.7,0.73057515033419,0.572876366080498,0.157698784253692
"58",-6,0.4,0.7,0.73902721481309,0.574505032578568,0.164522182234521
"59",-6,0.5,0.7,0.735646158130887,0.570564623267332,0.165081534863555
"60",-6,0.6,0.7,0.734798458276297,0.571542442288139,0.163256015988158
"61",-6,0.7,0.7,0.732565619374003,0.577824590708629,0.154741028665374
"62",-6,0.8,0.7,0.730862686414585,0.574408918591238,0.156453767823347
"63",-6,0.9,0.7,0.726836467785935,0.575548311537417,0.151288156248518
"64",-6,0.1,0.8,0.766986846086068,0.636397785198802,0.130589060887266
"65",-6,0.2,0.8,0.768079255948531,0.635094805087914,0.132984450860617
"66",-6,0.3,0.8,0.765248505010898,0.634677674218159,0.130570830792739
"67",-6,0.4,0.8,0.765875980156784,0.635917848295284,0.1299581318615
"68",-6,0.5,0.8,0.764348927703322,0.636030263670758,0.128318664032564
"69",-6,0.6,0.8,0.765800823439155,0.635923621774234,0.129877201664921
