prev,b_int,cmi,auc_corrected_bias,auc_uncorrected_bias
-2.5,0.7000000000000001,0.2,0.13480639500614927,0.11057120909546204
-6,0.8,0.2,0.08790401990934658,0.14308805933753968
-4,0.8,0.2,0.11097358031953576,0.08706635353784196
-2.5,0.8,0.2,0.12610974997815055,0.09399831782282067
-6,0.9,0.2,0.08287624159777113,0.12474840123316205
-4,0.9,0.2,0.10553728361290002,0.07454253914643713
-2.5,0.9,0.2,0.1201445260862125,0.08103850927900895
-6,0.1,0.30000000000000004,0.11734709451337631,0.22505746145966765
-4,0.1,0.30000000000000004,0.1658066889675525,0.22493654078780115
-2.5,0.1,0.30000000000000004,0.2143854750383018,0.3098734568850253
-6,0.2,0.30000000000000004,0.11757721818066419,0.2276572733111456
-4,0.2,0.30000000000000004,0.16412093971431202,0.2169049664384633
-2.5,0.2,0.30000000000000004,0.20662866157622017,0.2846284921358207
-6,0.30000000000000004,0.30000000000000004,0.11525248653395505,0.2268523704194613
-4,0.30000000000000004,0.30000000000000004,0.16057441003132986,0.20677078953005765
-2.5,0.30000000000000004,0.30000000000000004,0.1976295038549911,0.25484370942730505
-6,0.4,0.30000000000000004,0.1159041480297838,0.22653827990934414
-4,0.4,0.30000000000000004,0.15784066879686004,0.19501245098218437
-2.5,0.4,0.30000000000000004,0.1869911976798719,0.22405241125728778
-6,0.5,0.30000000000000004,0.11719344235679165,0.22532368329470193
-4,0.5,0.30000000000000004,0.15242838607073067,0.17950981054131548
-2.5,0.5,0.30000000000000004,0.17698460038694003,0.19424127955681098
-6,0.6,0.30000000000000004,0.11591262142867582,0.22206738512717483
-4,0.6,0.30000000000000004,0.14629890675970406,0.15970985861626297
-2.5,0.6,0.30000000000000004,0.16747990319711384,0.1670002938257863
-6,0.7000000000000001,0.30000000000000004,0.10991699662249817,0.21569479878451364
-4,0.7000000000000001,0.30000000000000004,0.1399465155953929,0.14096355238527367
-2.5,0.7000000000000001,0.30000000000000004,0.15926865012087899,0.14328937176660675
-6,0.8,0.30000000000000004,0.11008424376439314,0.20032604779133031
-4,0.8,0.30000000000000004,0.13513528909442282,0.12298114248448391
-2.5,0.8,0.30000000000000004,0.15228127519237294,0.12408257715696212
-6,0.9,0.30000000000000004,0.1077136752034367,0.19601742664439714
-4,0.9,0.30000000000000004,0.13016235978579047,0.1055766988340973
-2.5,0.9,0.30000000000000004,0.14842344946129976,0.10932808960738732
-6,0.1,0.4,0.12868293880874362,0.3144511161631943
-4,0.1,0.4,0.17300526328923663,0.26452017729902955
-2.5,0.1,0.4,0.21371972812740744,0.3161061245051386
-6,0.2,0.4,0.12754745592552286,0.32451234944587415
-4,0.2,0.4,0.17162106138155395,0.25641073433313577
-2.5,0.2,0.4,0.2085409292890124,0.33894092863898545
-6,0.30000000000000004,0.4,0.1268219705118278,0.3222911595124358
-4,0.30000000000000004,0.4,0.16996770277900952,0.246938687615644
-2.5,0.30000000000000004,0.4,0.2005094868706453,0.28678496732955994
-6,0.4,0.4,0.12877157105148573,0.3212639825003903
-4,0.4,0.4,0.1662440018723307,0.23495551082361985
-2.5,0.4,0.4,0.19234614268397618,0.25457933243949676
-6,0.5,0.4,0.126243587965995,0.3206234535959674
-4,0.5,0.4,0.1621402734071378,0.21776864400815515
-2.5,0.5,0.4,0.18509018512673353,0.22515512285833528
-6,0.6,0.4,0.12471484182714279,0.3188483052724285
-4,0.6,0.4,0.15628256179381197,0.1988252880048664
-2.5,0.6,0.4,0.1778780005009734,0.19653310405596475
-6,0.7000000000000001,0.4,0.12488194668615153,0.299202567474405
-4,0.7000000000000001,0.4,0.15322617834907434,0.17801536246083405
-2.5,0.7000000000000001,0.4,0.1716897506717847,0.17113106055098748
-6,0.8,0.4,0.12433290026596783,0.30086077346862883
-4,0.8,0.4,0.14700433847966488,0.15678003705855692
-2.5,0.8,0.4,0.16733964316061112,0.1500084814739379
-6,0.9,0.4,0.12084131250426379,0.26871840206004427
-4,0.9,0.4,0.14319289545356728,0.13831528057209672
-2.5,0.9,0.4,0.16394946212842407,0.13363906198281802
-6,0.1,0.5,0.1330364142328867,0.324386658894539
-4,0.1,0.5,0.16901486229887652,0.36136002719916777
-2.5,0.1,0.5,0.199994146910933,0.31629953756368284
-6,0.2,0.5,0.12973458459342985,0.32356030588716017
-4,0.2,0.5,0.16944650471925476,0.36669112070816906
-2.5,0.2,0.5,0.1960945859838355,0.3351436395989801
-6,0.30000000000000004,0.5,0.1330460776133969,0.326230773456351
-4,0.30000000000000004,0.5,0.16753115967382698,0.37507282776031653
-2.5,0.30000000000000004,0.5,0.19136573098984921,0.3575315510355472
-6,0.4,0.5,0.13034116403297466,0.32380679186461764
-4,0.4,0.5,0.16489983412599898,0.38557509293561765
-2.5,0.4,0.5,0.1863692931776513,0.3842722989944938
-6,0.5,0.5,0.1336560253412634,0.3267083854613057
-4,0.5,0.5,0.1620590807607303,0.3090692058251089
-2.5,0.5,0.5,0.18090030846755803,0.2403952959719517
-6,0.6,0.5,0.12896750134295967,0.3271526925821501
-4,0.6,0.5,0.15850474097373965,0.22583592333988955
-2.5,0.6,0.5,0.17609331523496718,0.21333279792954957
-6,0.7000000000000001,0.5,0.12952114328845915,0.33502576218065
-4,0.7000000000000001,0.5,0.1537891415400283,0.2049162086101266
-2.5,0.7000000000000001,0.5,0.17172823554967181,0.1882815372598724
-6,0.8,0.5,0.1269770247461246,0.33942125402927625
-4,0.8,0.5,0.1504566513918555,0.18443592674112722
-2.5,0.8,0.5,0.16919234675338285,0.1675056046477109
-6,0.9,0.5,0.1269348198335166,0.3516896725981357
-4,0.9,0.5,0.14742542993146407,0.1657126806732615
-2.5,0.9,0.5,0.16679080020962467,0.1501417447872685
-6,0.1,0.6,0.12191805229477463,0.2850319669855752
-4,0.1,0.6,0.15512196887464402,0.2700355158017231
-2.5,0.1,0.6,0.17560004796809903,0.30763764034502844
-6,0.2,0.6,0.12457743958959036,0.2847655361793049
-4,0.2,0.6,0.155378652425631,0.26684396909639063
-2.5,0.2,0.6,0.17353561038832324,0.29460403007857716
-6,0.30000000000000004,0.6,0.12204485144707725,0.2838022197905133
-4,0.30000000000000004,0.6,0.15340439735196254,0.2612323736398746
-2.5,0.30000000000000004,0.6,0.17015442508808612,0.2764341096015357
-6,0.4,0.6,0.1263001697089498,0.2841039842727187
-4,0.4,0.6,0.15245999649391767,0.25346789897604577
-2.5,0.4,0.6,0.1675248913575179,0.2566146460447286
-6,0.5,0.6,0.12476262077105166,0.28242726506159443
-4,0.5,0.6,0.15010048658508385,0.24335154705939602
-2.5,0.5,0.6,0.16378458122930226,0.2337915179666506
-6,0.6,0.6,0.12394905319327418,0.2811836280133303
-4,0.6,0.6,0.1473662089587705,0.2288931040499349
-2.5,0.6,0.6,0.16035331720653972,0.2107217647888712
-6,0.7000000000000001,0.6,0.12249300151534526,0.2771017861110013
-4,0.7000000000000001,0.6,0.14440604304308619,0.21332648958953115
-2.5,0.7000000000000001,0.6,0.15837402538143291,0.18956795474512758
-6,0.8,0.6,0.1216502518043418,0.2739872151588051
-4,0.8,0.6,0.14242347931395163,0.1963851477037547
-2.5,0.8,0.6,0.15698528089229755,0.17085665554115537
-6,0.9,0.6,0.12029256524373785,0.2684739309027229
-4,0.9,0.6,0.13986177526125151,0.17904400456397018
-2.5,0.9,0.6,0.1551952374038985,0.15527203898116043
-6,0.1,0.7000000000000001,0.10811268213256144,0.24164712597928598
-4,0.1,0.7000000000000001,0.1298285933176774,0.2336465443171601
-2.5,0.1,0.7000000000000001,0.14062393238260543,0.2564738723877207
-6,0.2,0.7000000000000001,0.11023463569377853,0.24232133074419904
-4,0.2,0.7000000000000001,0.12955137081395493,0.23148360988814726
-2.5,0.2,0.7000000000000001,0.14009726349921917,0.24766825279242166
-6,0.30000000000000004,0.7000000000000001,0.10807636267597592,0.24146323109082377
-4,0.30000000000000004,0.7000000000000001,0.1284625082527479,0.2279038965976074
-2.5,0.30000000000000004,0.7000000000000001,0.13828834085496922,0.23621327714572993
-6,0.4,0.7000000000000001,0.10775999243628405,0.24056017317291367
-4,0.4,0.7000000000000001,0.1269716960451772,0.22190867020774505
-2.5,0.4,0.7000000000000001,0.1369263100079933,0.22174918110776937
-6,0.5,0.7000000000000001,0.1083731196862397,0.24059214296203998
-4,0.5,0.7000000000000001,0.12662943287481834,0.21604465992079344
-2.5,0.5,0.7000000000000001,0.1351981795974846,0.20526785907897363
-6,0.6,0.7000000000000001,0.10769874352063452,0.23991071530491836
-4,0.6,0.7000000000000001,0.1248759586255172,0.20684338399423363
-2.5,0.6,0.7000000000000001,0.13372003341952873,0.1883547275301147
-6,0.7000000000000001,0.7000000000000001,0.10761991496443411,0.237858974586119
-4,0.7000000000000001,0.7000000000000001,0.1235379510338497,0.19611003472466657
-2.5,0.7000000000000001,0.7000000000000001,0.13259134035755415,0.17250038720569624
-6,0.8,0.7000000000000001,0.1066408625609825,0.23557683470888732
-4,0.8,0.7000000000000001,0.12194218779599604,0.18338732418172754
