prev,b_int,cmi,auc_corrected_bias,auc_uncorrected_bias
-6,0.4,0.30000000000000004,0.15394837518087326,0.21469198762022912
-4,0.4,0.30000000000000004,0.18494290008450784,0.1822114767620965
-2.5,0.4,0.30000000000000004,0.2092353939244305,0.2346860286964828
-6,0.5,0.30000000000000004,0.1544300896314,0.21621063758978992
-4,0.5,0.30000000000000004,0.1841761056970171,0.177872641362662
-2.5,0.5,0.30000000000000004,0.20187716648856832,0.21974120134885297
-6,0.6,0.30000000000000004,0.15923887718274826,0.22063019995650512
-4,0.6,0.30000000000000004,0.17826347479918378,0.17014848169719543
-2.5,0.6,0.30000000000000004,0.19363390263609048,0.20679375036960237
-6,0.7000000000000001,0.30000000000000004,0.15455458695743193,0.21907967742439108
-4,0.7000000000000001,0.30000000000000004,0.1782331582440895,0.16405953116485508
-2.5,0.7000000000000001,0.30000000000000004,0.18173023380276823,0.19127460996993115
-6,0.8,0.30000000000000004,0.15982150620819147,0.20091287005715877
-4,0.8,0.30000000000000004,0.1704744847668315,0.15277698128166864
-2.5,0.8,0.30000000000000004,0.17252770653159488,0.17917171938533488
-6,0.9,0.30000000000000004,0.1556582589505088,0.21601096702398748
-4,0.9,0.30000000000000004,0.1578701967080672,0.14156626076260748
-2.5,0.9,0.30000000000000004,0.1663982528603359,0.17067924259337564
-6,0.1,0.4,0.15792398080937406,0.29620312826021694
-4,0.1,0.4,0.2076599363464481,0.2373222685146579
-2.5,0.1,0.4,0.2064668308716248,0.3301084206066635
-6,0.2,0.4,0.15456019775070795,0.28801013143262183
-4,0.2,0.4,0.20666348652706468,0.23003221027262366
-2.5,0.2,0.4,0.21080714238012063,0.2979971655830511
-6,0.30000000000000004,0.4,0.15490714596521923,0.2819199766016122
-4,0.30000000000000004,0.4,0.20713237571943655,0.22749938989581178
-2.5,0.30000000000000004,0.4,0.21002747772812463,0.2753335853734221
-6,0.4,0.4,0.15657465374575932,0.28806528490062616
-4,0.4,0.4,0.20715690614568383,0.220635902010446
-2.5,0.4,0.4,0.21021009257852996,0.2609018070638634
-6,0.5,0.4,0.15714614356966095,0.28908012386218707
-4,0.5,0.4,0.20634289214380544,0.21490539896847546
-2.5,0.5,0.4,0.20793900606652127,0.244189268125938
-6,0.6,0.4,0.15572270303708366,0.28364672085818704
-4,0.6,0.4,0.20773056833863301,0.2035674111770374
-2.5,0.6,0.4,0.20038967634650096,0.22719444151756796
-6,0.7000000000000001,0.4,0.16532310474591574,0.274116178321662
-4,0.7000000000000001,0.4,0.20676704306966698,0.193444436460415
-2.5,0.7000000000000001,0.4,0.19251264575292773,0.2115068969026021
-6,0.8,0.4,0.15519685944108397,0.28228625254443473
-4,0.8,0.4,0.20246177247720523,0.1844868242161833
-2.5,0.8,0.4,0.184259726396594,0.19760960309666298
-6,0.9,0.4,0.16400232552496913,0.2827408462943403
-4,0.9,0.4,0.194851011166906,0.17314943213226186
-2.5,0.9,0.4,0.17608657779943881,0.18603926288571263
-6,0.1,0.5,0.14302485297059037,0.33051450125376447
