"","prev","b_int","auc","auc_uncorrected","auc_diff"
"1",-6,0.1,0.808212669561986,0.797138431380022,0.0110742381819638
"2",-6,0.2,0.805826188731306,0.794724982934779,0.0111012057965274
"3",-6,0.3,0.804506096894665,0.794102776143209,0.0104033207514561
"4",-6,0.4,0.804554918045353,0.793409169456629,0.011145748588724
"5",-6,0.5,0.803018969421725,0.792869536642058,0.010149432779667
"6",-6,0.6,0.804074788217593,0.793423776258364,0.0106510119592286
"7",-6,0.7,0.804388326457267,0.793384207645675,0.011004118811592
"8",-6,0.8,0.805409397570735,0.794004555268983,0.0114048423017521
"9",-6,0.9,0.80533624593874,0.79348138955808,0.01185485638066
"10",-4,0.1,0.771443521044786,0.720393133701091,0.0510503873436943
"11",-4,0.2,0.771083350124131,0.720364061415426,0.0507192887087049
"12",-4,0.3,0.771231499173573,0.721619444345373,0.0496120548281999
"13",-4,0.4,0.770830371346545,0.721721189799071,0.0491091815474742
"14",-4,0.5,0.772169864392372,0.724461358331698,0.0477085060606744
"15",-4,0.6,0.774348979043671,0.72739594002458,0.0469530390190906
"16",-4,0.7,0.77448536625429,0.728885065266104,0.0456003009881855
"17",-4,0.8,0.775461097374094,0.732339321310246,0.0431217760638477
"18",-4,0.9,0.777124266364027,0.736000094636788,0.0411241717272389
"19",-2.5,0.1,0.702213282458894,0.601792592291652,0.100420690167242
"20",-2.5,0.2,0.705366663465876,0.610356852233931,0.0950098112319451
"21",-2.5,0.3,0.711031311066522,0.623930239800396,0.0871010712661262
"22",-2.5,0.4,0.717062570706981,0.639199865779745,0.0778627049272356
"23",-2.5,0.5,0.722287699854368,0.654641770583609,0.0676459292707584
"24",-2.5,0.6,0.728980363153147,0.672211695273025,0.0567686678801212
"25",-2.5,0.7,0.73434550352928,0.687509328532832,0.0468361749964478
"26",-2.5,0.8,0.73805768788504,0.700954399040477,0.0371032888445625
"27",-2.5,0.9,0.741146275396922,0.712342924072599,0.0288033513243233
