"","prev","b_int","cmi","auc","auc_uncorrected","auc_diff"
"1",-6,0.1,0.1,0,0,0
"2",-6,0.2,0.1,0.751929962680726,0.728648700983161,0.0232812616975645
"3",-6,0.3,0.1,0.751766584468971,0.727139271985598,0.0246273124833731
"4",-6,0.4,0.1,0.747390881032541,0.730439186101397,0.0169516949311439
"5",-6,0.5,0.1,0.750706946611295,0.72584661648034,0.0248603301309555
"6",-6,0.6,0.1,0.749402667752511,0.731162686282582,0.0182399814699288
"7",-6,0.7,0.1,0.759743108373663,0.738113093629192,0.0216300147444718
"8",-6,0.8,0.1,0.756620652855972,0.738681794954757,0.0179388579012147
"9",-6,0.9,0.1,0.759913682310375,0.739583782385559,0.0203298999248158
"10",-6,0.1,0.2,0.716264426977787,0.654089695896703,0.0621747310810836
"11",-6,0.2,0.2,0.718224559348245,0.65451984615697,0.0637047131912751
"12",-6,0.3,0.2,0.719698395577976,0.652243077577976,0.0674553180000006
"13",-6,0.4,0.2,0.722089478314103,0.66307759284664,0.0590118854674625
"14",-6,0.5,0.2,0.722727360894048,0.661730269843035,0.0609970910510124
"15",-6,0.6,0.2,0.719610064181137,0.659798604091923,0.0598114600892141
"16",-6,0.7,0.2,0.720358689168314,0.669326040013408,0.0510326491549061
"17",-6,0.8,0.2,0.723999928613691,0.674003250670018,0.0499966779436738
"18",-6,0.9,0.2,0.726719377035259,0.680402736320542,0.0463166407147169
"19",-6,0.1,0.3,0.695166307642464,0.580395317858744,0.11477098978372
"20",-6,0.2,0.3,0.70002886037919,0.587128322460041,0.112900537919149
"21",-6,0.3,0.3,0.695936756444522,0.58231513831226,0.113621618132262
"22",-6,0.4,0.3,0.698167675607339,0.585903368983503,0.112264306623836
"23",-6,0.5,0.3,0.698264956526247,0.590209455599471,0.108055500926776
"24",-6,0.6,0.3,0.704829567069159,0.59925264187299,0.105576925196169
"25",-6,0.7,0.3,0.697908660145905,0.603047350735441,0.0948613094104637
"26",-6,0.8,0.3,0.702159901473006,0.611558614041121,0.0906012874318852
"27",-6,0.9,0.3,0.705027588882775,0.620093121877906,0.084934467004869
"28",-6,0.1,0.4,0.680270899514535,0.497120799400705,0.18315010011383
"29",-6,0.2,0.4,0.682907527130892,0.488756894507821,0.19415063262307
"30",-6,0.3,0.4,0.684782786309196,0.487194645937054,0.197588140372143
"31",-6,0.4,0.4,0.679879135234621,0.488383511732068,0.191495623502553
"32",-6,0.5,0.4,0.682314488052924,0.485510980788299,0.196803507264625
"33",-6,0.6,0.4,0.683742241043145,0.507645736411586,0.17609650463156
"34",-6,0.7,0.4,0.684888930150526,0.516081985839148,0.168806944311378
"35",-6,0.8,0.4,0.6891012320306,0.502981462817535,0.186119769213064
"36",-6,0.9,0.4,0.688425168117791,0.525444748865317,0.162980419252475
"37",-6,0.1,0.5,0.678374134674587,0.481104055623671,0.197270079050916
"38",-6,0.2,0.5,0.679913987845222,0.484873248832636,0.195040739012586
"39",-6,0.3,0.5,0.678010152580544,0.485380740522539,0.192629412058005
"40",-6,0.4,0.5,0.678511964173591,0.483572905977716,0.194939058195875
"41",-6,0.5,0.5,0.67970675314532,0.481857946339338,0.197848806805982
"42",-6,0.6,0.5,0.681954137479219,0.478723433023073,0.203230704456146
"43",-6,0.7,0.5,0.683450951691181,0.474514539744928,0.208936411946254
"44",-6,0.8,0.5,0.678734315169517,0.472171294015097,0.20656302115442
"45",-6,0.9,0.5,0.68089326662252,0.463970953017872,0.216922313604648
"46",-6,0.1,0.6,0.686327513889309,0.525213414415742,0.161114099473567
"47",-6,0.2,0.6,0.686045097456139,0.527064284293825,0.158980813162314
"48",-6,0.3,0.6,0.687971995846153,0.528316569856313,0.15965542598984
"49",-6,0.4,0.6,0.684372085075729,0.526245545678588,0.158126539397141
"50",-6,0.5,0.6,0.684506438207128,0.52694370999785,0.157562728209277
"51",-6,0.6,0.6,0.688707230788094,0.531986856091211,0.156720374696883
"52",-6,0.7,0.6,0.689235597643244,0.534484204400556,0.154751393242688
"53",-6,0.8,0.6,0.689849220476389,0.537030915654485,0.152818304821904
"54",-6,0.9,0.6,0.691424888850476,0.543505904848522,0.147918984001953
"55",-6,0.1,0.7,0.703660184526486,0.57062592762668,0.133034256899806
"56",-6,0.2,0.7,0.704015106623622,0.571383292038429,0.132631814585193
"57",-6,0.3,0.7,0.704629449365412,0.570866523955745,0.133762925409667
"58",-6,0.4,0.7,0.701960742033552,0.568766381350735,0.133194360682817
"59",-6,0.5,0.7,0.703943745294296,0.574091482533824,0.129852262760472
"60",-6,0.6,0.7,0.702302324924802,0.571912616197677,0.130389708727125
"61",-6,0.7,0.7,0.702210998856234,0.574765301373178,0.127445697483056
"62",-6,0.8,0.7,0.705428867253859,0.577786360998866,0.127642506254993
"63",-6,0.9,0.7,0.704685207430939,0.580198685323721,0.124486522107218
"64",-6,0.1,0.8,0.729696260610596,0.635083115655668,0.0946131449549282
"65",-6,0.2,0.8,0.730731814718807,0.636825485429206,0.0939063292896006
"66",-6,0.3,0.8,0.728730299109872,0.635935495744985,0.092794803364887
"67",-6,0.4,0.8,0.72941469918994,0.636550491362232,0.0928642078277082
"68",-6,0.5,0.8,0.72910710882464,0.637892129949141,0.0912149788754983
"69",-6,0.6,0.8,0.730624610351945,0.636147956133696,0.0944766542182486
"70",-6,0.7,0.8,0.728518206505718,0.636371704745292,0.0921465017604258
"71",-6,0.8,0.8,0.729765194433301,0.63877014047115,0.0909950539621508
"72",-6,0.9,0.8,0.731860716201623,0.640315511120502,0.091545205081121
"73",-6,0.1,0.9,0.767388992453792,0.719275502500882,0.0481134899529103
"74",-6,0.2,0.9,0.767507172436674,0.718779032023781,0.0487281404128926
"75",-6,0.3,0.9,0.767331705480458,0.718742656809423,0.0485890486710356
"76",-6,0.4,0.9,0.766698245853456,0.71906571971663,0.0476325261368256
"77",-6,0.5,0.9,0.768164353492769,0.72012196777219,0.0480423857205795
"78",-6,0.6,0.9,0.767253178817859,0.719716835310387,0.0475363435074719
"79",-6,0.7,0.9,0.768075029452096,0.719782849360493,0.0482921800916029
"80",-6,0.8,0.9,0.767930008212527,0.719587365427806,0.0483426427847207
"81",-6,0.9,0.9,0.76763790379742,0.720488197153338,0.0471497066440828
"82",-4,0.1,0.1,0.705957920177648,0.701023686021274,0.00493423415637395
